"альтруизм, верность"|"доброта, смелость, честность"|"нерешительность, обидчивость, пессимизм"|Донна Уотсон: практичный и надежный|Собеседниками с завышенным ЧСВ
"дисциплинированность, скрытность, уверенность"|"трудолюбие, целеустремлённость, доброта"|"ветреность, пессимизм, раздражительность"|Фродо Уотсон: чуткий и заботливый|"Если человек считает, что знает всё лучше всех"
"прагматизм, необязательность, великодушие"|"тактичность, ответственность, терпеливость"|"обидчивость, вспыльчивость, импульсивность"|Лоис Доу: оптимистичный и энергичный|Не нахожу контакта с импульсивными
щедрость|"мечтательность, уверенность, тактичность"|"грубость, вспыльчивость, обидчивость"|Северус Доу: храбрый и умный|Обычно это эмоционально закрытые
"интроверсия, корыстолюбие, скромность"|"целеустремлённость, общительность, смелость"|"неряшливость, безразличие, пессимизм"|Гимли Аллен: хитрый и находчивый|Кто обобщают негатив
терпеливость|"смелость, общительность, отзывчивость"|"неряшливость, вспыльчивость, лень"|Мастер Скайуокер: храбрый и умный|"Не люблю, когда игнорируют факты"
"адаптивность, лживость, рассудительность"|"смелость, доброта, тактичность"|"вспыльчивость, неряшливость, эгоизм"|Джон Кurry: загадочный и глубокий|Не нахожу контакта с ханжами
"инфантильность, стрессоустойчивость"|"доброта, смелость, честность"|"вспыльчивость, раздражительность, лживость"|Северус Старк: творческий и вдохновляющий|"Те, у кого нет эмпатии"
"справедливость, оптимизм, вспыльчивость"|"оптимизм, трудолюбие, доброта"|"трусость, обидчивость, раздражительность"|Элизабет Ли: романтичный и мечтательный|"Те, у кого узкий кругозор"
искренность|"щедрость, тактичность, оптимизм"|"высокомерие, пессимизм, трусость"|Роза Скайуокер: веселый и остроумный|Товарищами с негативной мотивацией
"упрямство, уравновешенность, гуманность"|"щедрость, смелость, мечтательность"|"вспыльчивость, агрессивность, трусость"|Элизабет Теннант: романтичный и мечтательный|С людьми с комплексом превосходства
обаятельность|"эмпатия, справедливость, тактичность"|"жадность, зависть, безответственность"|Хан Уотсон: сильный и благородный|Трудно с постоянно жалующимися
"упрямство, искренность, пластичность, внимательность"|"интроверсия, трудолюбие, оптимизм"|"нетерпеливость, лживость, обидчивость"|Кларк Кurry: практичный и надежный|"Те, у кого с кучей предрассудков"
"любознательность, гибкость"|"скромность, уверенность, щедрость"|"зависть, неряшливость, ветреность"|Леголас Старк: страстный и принципиальный|"Людьми, которые преувеличивают проблемы"
"трусость, креативность"|"тактичность, эмпатия, креативность"|"раздражительность, лживость, эгоизм"|Джон Снейп: адаптивный и гибкий|"Те, у кого со стереотипным мышлением"
"рассудительность, цинизм, эмпатия"|"смелость, жизнерадостность, ответственность"|"лживость, нерешительность, эгоизм"|Люк Оди: страстный и принципиальный|Мне со всеми хорошо
"деспотичность, трудолюбие, бескорыстие, молчаливость"|"доброта, честность, великодушие"|"импульсивность, грубость, упрямство"|Лея Ли: загадочный и глубокий|Не нахожу контакта с педантами
"скромность, порядочность, флегматичность"|"креативность, ответственность, отзывчивость"|"лживость, высокомерие, нерешительность"|Гарри Нобл: решительный и преданный|"Те, кто используют шаблонные фразы"
"оптимизм, любознательность, высокомерие"|"честность, уверенность, общительность"|"безразличие, обидчивость, лживость"|Спок Роджерс: хитрый и находчивый|Со скептиками
"терпеливость, злопамятность"|"великодушие, эмпатия, оптимизм"|"безответственность, пессимизм, трусость"|Леголас Нобл: изобретательный и харизматичный|"Люди, которые вечно перебивают"
"молчаливость, неряшливость, принципиальность"|"терпеливость, трудолюбие, доброта"|"раздражительность, безответственность, ветреность"|Доктор Куинн: романтичный и мечтательный|Если человек прикидывается жертвой
"гибкость, лживость, меланхоличность"|"целеустремлённость, терпеливость, доброта"|"нерешительность, безответственность, импульсивность"|Гарри Грейнджер: решительный и преданный|Пофиг
"интроверсия, адаптивность"|"тактичность, эмпатия, справедливость"|"амбициозность, безответственность, жадность"|Джеймс Соло: веселый и остроумный|Спорщиками
"верность, уверенность, флегматичность"|"щедрость, ответственность, великодушие"|"грубость, безответственность, лживость"|Джон Нобл: добрый и мудрый|Персонами без чувства юмора
"щедрость, субъективность"|"великодушие, надёжность, терпеливость"|"амбициозность, нетерпеливость, пессимизм"|Харли Доу: романтичный и мечтательный|Когда игнорируют факты
"рассудительность, пессимизм, уверенность, порядочность"|"скромность, надёжность, смелость"|"трусость, нерешительность, лень"|Гермиона Беннер: романтичный и мечтательный|Обычно это нытиками
"созерцательность, терпеливость, оптимизм"|"отзывчивость, эмпатия, трудолюбие"|"трусость, упрямство, нетерпеливость"|Джон Доу: альтруистичный и самоотверженный|"Люди, которые говорят только о себе"
"жизнерадостность, щедрость"|"общительность, уверенность, великодушие"|"трусость, безразличие, неряшливость"|Черепашка Грейнджер: тактичный и проницательный|Импульсивными персонами
"щедрость, ответственность, недоверчивость, серьёзность"|"жизнерадостность, тактичность, терпеливость"|"лень, вспыльчивость, скрытность"|Гарри Женщина: элегантный и утонченный|Если с узким кругозором
"эмпатия, целеустремлённость, вспыльчивость"|"эмпатия, жизнерадостность, общительность"|"пессимизм, нерешительность, неряшливость"|Чудо Кент: храбрый и умный|Педантами собеседниками
"самодостаточность, уважительность"|"прагматизм, справедливость, оптимизм"|"безответственность, грубость, вспыльчивость"|Гермиона Грейнджер: адаптивный и гибкий|"Не люблю, когда давят на жалость"
"назойливость, решительность"|"экстраверсия, щедрость, смелость"|"эгоизм, пессимизм, жадность"|Брюс Бонд: храбрый и умный|"Те, у кого предвзятое отношение"
"холеричность, деликатность, дисциплинированность"|"смелость, великодушие, общительность"|"лживость, эгоизм, импульсивность"|Дарси Нобл: альтруистичный и самоотверженный|Нарциссами - это проблема
"эгоизм, общительность, мечтательность, деликатность"|"щедрость, общительность, надёжность"|"обидчивость, нетерпеливость, грубость"|Лея Беннер: оптимистичный и энергичный|Кто игнорируют факты
"вспыльчивость, верность"|"отзывчивость, честность, креативность"|"нерешительность, обидчивость, безразличие"|Сэм Вейн: храбрый и умный|Обычно это импульсивными
"деликатность, щедрость, агрессивность, серьёзность"|"эмпатия, великодушие, щедрость"|"раздражительность, обидчивость, агрессивность"|Стив Теннант: веселый и остроумный|"Те, у кого без чувства юмора"
"терпеливость, импозантность"|"великодушие, креативность, общительность"|"жадность, нетерпеливость, агрессивность"|Джон Романова: романтичный и мечтательный|Если с негативным настроем
"эмпатия, упрямство"|"оптимизм, ответственность, отзывчивость"|"высокомерие, пессимизм, нетерпеливость"|Дамблдор Бейн: хитрый и находчивый|"Люди, которые ведут себя высокомерно"
отзывчивость|"тактичность, великодушие, щедрость"|"неряшливость, лень, консервативность"|Северус Снейп: оптимистичный и энергичный|Индивидами с комплексом превосходства
"настойчивость, истеричность, импозантность"|"оптимизм, скромность, честность"|"безответственность, пессимизм, лень"|Шреддер Кurry: тактичный и проницательный|Обычно это лицемерами
"скромность, гуманность"|"щедрость, честность, справедливость"|"упрямство, нетерпеливость, неряшливость"|Флэш Уотсон: тактичный и проницательный|Высокомерными
"манипулятивность, скромность, креативность"|"смелость, честность, креативность"|"зависть, безразличие, агрессивность"|Роза Оди: решительный и преданный|Спорщиками
"впечатлительность, любознательность, аккуратность"|"трудолюбие, щедрость, интроверсия"|"эгоизм, лживость, агрессивность"|Гарфилд Лейн: творческий и вдохновляющий|Если со скрытой агрессией
"честность, бесстрастность"|"отзывчивость, трудолюбие, уверенность"|"импульсивность, эгоизм, раздражительность"|Черепашка Тайлер: практичный и надежный|"Все люди прекрасны, со всеми легко"
любознательность|"терпеливость, скромность, великодушие"|"зависть, нерешительность, эгоизм"|Дарси Роджерс: хитрый и находчивый|Сложно с персонами без чувства юмора
"харизматичность, ранимость"|"терпеливость, тактичность, уверенность"|"зависть, нерешительность, грубость"|Люк Скайуокер: чуткий и заботливый|Чаще всего это товарищи лицемеры
аккуратность|"амбициозность, уверенность, справедливость"|"нерешительность, ветреность, импульсивность"|Мастер Бонд: сильный и благородный|Кто перекручивают слова
стрессоустойчивость|"честность, уверенность, доброта"|"раздражительность, упрямство, зависть"|Гимли Бейн: чуткий и заботливый|С личностями с узким кругозором
"трудолюбие, внимательность, расчётливость"|"уверенность, трудолюбие, эмпатия"|"лень, зависть, эгоизм"|Дарси Ли: страстный и принципиальный|Не знаю как ответить
"гуманность, спокойствие"|"скромность, честность, жизнерадостность"|"агрессивность, вспыльчивость, жадность"|Аквамен Смит: храбрый и умный|Когда ищут повод для спора
"доброта, трусость"|"оптимизм, отзывчивость, доброта"|"неряшливость, эгоизм, интроверсия"|Гермиона Холмс: храбрый и умный|Спорщиками - это проблема
"стрессоустойчивость, трудолюбие, обидчивость"|"отзывчивость, терпеливость, трудолюбие"|"обидчивость, вспыльчивость, лень"|Рон Оди: веселый и остроумный|Людьми с предвзятым отношением
"тактичность, флегматичность, пассивность"|"трудолюбие, ответственность, отзывчивость"|"интроверсия, нерешительность, пессимизм"|Хан Скайуокер: изобретательный и харизматичный|С людьми с узким кругозором
"адаптивность, расчётливость"|"общительность, трудолюбие, ответственность"|"высокомерие, нетерпеливость, трусость"|Наташа Снейп: хитрый и находчивый|Когда перекручивают слова
миролюбие|"уверенность, смелость, ответственность"|"лень, пессимизм, нерешительность"|Дарси Куинн: практичный и надежный|Кто игнорируют личные границы
"стрессоустойчивость, консервативность"|"щедрость, трудолюбие, эмпатия"|"эгоизм, зависть, обидчивость"|Аквамен Старк: храбрый и умный|Скептиками - это проблема
"организованность, честность, тщеславие"|"жизнерадостность, щедрость, оптимизм"|"прямолинейность, обидчивость, безразличие"|Стив Бейн: оптимистичный и энергичный|Товарищами с кучей предрассудков
"неуверенность, решительность"|"ответственность, надёжность, щедрость"|"амбициозность, грубость, нерешительность"|Гарри Смит: загадочный и глубокий|"Те, у кого с комплексом превосходства"
"импульсивность, лживость, терпеливость"|"щедрость, честность, трудолюбие"|"высокомерие, грубость, обидчивость"|Гермиона Теннант: тактичный и проницательный|Нарциссами персонами
"внимательность, дисциплинированность"|"эмпатия, терпеливость, общительность"|"зависть, безответственность, лень"|Харли Бейн: хитрый и находчивый|Не нахожу контакта с излишне самоуверенными
"тактичность, спокойствие"|"честность, эмпатия, трудолюбие"|"агрессивность, неряшливость, упрямство"|Лоис Смит: элегантный и утонченный|Индивидами с завышенным ЧСВ
чуткость|"великодушие, честность, терпеливость"|"неряшливость, высокомерие, вспыльчивость"|Гермиона Бонд: романтичный и мечтательный|Кто переходят на личности
честность|"трудолюбие, честность, щедрость"|"высокомерие, ветреность, грубость"|Чудо Арбакл: страстный и принципиальный|Если человек игнорируют личные границы
"чуткость, ветреность"|"щедрость, амбициозность, великодушие"|"безответственность, лень, ветреность"|Гарри Кент: решительный и преданный|Обычно это болтунами
"деликатность, холеричность, решительность"|"трудолюбие, амбициозность, эмпатия"|"скрытность, обидчивость, лень"|Гендальф Нобл: изобретательный и харизматичный|Не нахожу контакта с неуверенными в себе
"консервативность, внимательность, справедливость"|"великодушие, щедрость, надёжность"|"нерешительность, нетерпеливость, ветреность"|Гарфилд Холмс: решительный и преданный|С людьми с негативным настроем
"смелость, ответственность, нетерпеливость"|"щедрость, отзывчивость, эмпатия"|"упрямство, безразличие, пессимизм"|Черепашка Нобл: изобретательный и харизматичный|"Те, кто не признают ошибки"
"организованность, уверенность"|"ответственность, оптимизм, скромность"|"зависть, пессимизм, лень"|Лоис Лейн: изобретательный и харизматичный|"Люди, которые игнорируют личные границы"
"смелость, вспыльчивость"|"эмпатия, креативность, великодушие"|"ветреность, жадность, упрямство"|Рон Лейн: спокойный и наблюдательный|Товарищами с предвзятым отношением
"скромность, щедрость"|"доброта, уверенность, щедрость"|"лень, эгоизм, неряшливость"|Брюс Бонд: адаптивный и гибкий|Сложно с товарищами с комплексом превосходства
"мстительность, организованность, азартность"|"уверенность, доброта, оптимизм"|"обидчивость, безразличие, эгоизм"|Спок Кurry: творческий и вдохновляющий|"Люди, которые не понимают юмор"
"доброта, обаятельность"|"эмпатия, креативность, великодушие"|"ветреность, раздражительность, обидчивость"|Лея Микеланджело: страстный и принципиальный|"Те, кто ищут повод для спора"
"экстраверсия, уважительность, искренность"|"терпеливость, доброта, великодушие"|"агрессивность, эгоизм, неряшливость"|Рон Кент: романтичный и мечтательный|Не нахожу контакта с пессимистами
уверенность|"аналитичность, трудолюбие, целеустремлённость"|"лень, раздражительность, безразличие"|Брюс Романова: практичный и надежный|Обычно это циничными ко всему
смелость|"общительность, креативность, справедливость"|"раздражительность, вспыльчивость, зависть"|Гарри Холмс: спокойный и наблюдательный|Сложно с людьми с узким кругозором
"консервативность, нетерпеливость, благородство"|"рассудительность, надёжность, терпеливость"|"высокомерие, ветреность, раздражительность"|Флэш Вейн: храбрый и умный|С товарищами с негативным настроем
"искренность, вспыльчивость"|"ответственность, скромность, трудолюбие"|"зависть, ветреность, высокомерие"|Шреддер Уизли: изобретательный и харизматичный|"Люди, которые преувеличивают проблемы"
"щедрость, целеустремлённость"|"великодушие, тактичность, целеустремлённость"|"нерешительность, высокомерие, агрессивность"|Доктор Оди: сильный и благородный|Персонами с предвзятым отношением
"отзывчивость, организованность, грубость, неприметность"|"тактичность, великодушие, терпеливость"|"зависть, нетерпеливость, обидчивость"|Роза Холмс: спокойный и наблюдательный|Занудами
адаптивность|"оптимизм, доброта, надёжность"|"жадность, зависть, неряшливость"|Бэтмен Тайлер: спокойный и наблюдательный|Личностями с завышенным ЧСВ
доброта|"щедрость, доброта, скромность"|"зависть, раздражительность, неряшливость"|Флэш Поттер: сильный и благородный|Трудно с нытиками
"адаптивность, фанатизм, молчаливость"|"ответственность, отзывчивость, жизнерадостность"|"нетерпеливость, неряшливость, лживость"|Джеймс Тайлер: практичный и надежный|"Люди, которые прикидываются жертвами"
"гуманность, мудрость"|"ответственность, трудолюбие, тактичность"|"вспыльчивость, нерешительность, безразличие"|Хан Роджерс: изобретательный и харизматичный|"Люди, которые воспринимают всё близко к сердцу"
"проницательность, расточительность"|"великодушие, доброта, смелость"|"вспыльчивость, зависть, эгоизм"|Тони Кент: практичный и надежный|Трудно с неуверенными в себе
"неряшливость, жизнерадостность, искренность"|"общительность, оптимизм, сдержанность"|"консервативность, безразличие, грубость"|Элизабет Микеланджело: сильный и благородный|Когда обобщают негатив
"справедливость, целеустремлённость"|"эмпатия, оптимизм, смелость"|"ранимость, нерешительность, безразличие"|Чудо Тайлер: практичный и надежный|"Те, кто не слышат других"
"бесстрастность, внимательность, обидчивость"|"надёжность, эмпатия, оптимизм"|"упрямство, грубость, неряшливость"|Леголас Теннант: творческий и вдохновляющий|"Людьми, которые прикидываются жертвами"
"самодостаточность, лживость, дисциплинированность"|"оптимизм, терпеливость, тактичность"|"нерешительность, ранимость, пессимизм"|Аквамен Арбакл: страстный и принципиальный|Сложно с собеседниками с завышенным ЧСВ
"самостоятельность, верность"|"надёжность, великодушие, терпеливость"|"вспыльчивость, ветреность, пессимизм"|Джокер Кент: альтруистичный и самоотверженный|Если без эмпатии
"уважительность, меланхоличность, смелость"|"ответственность, терпеливость, справедливость"|"агрессивность, безответственность, безразличие"|Дарси Куинн: альтруистичный и самоотверженный|Не нахожу контакта с высокомерными
"лживость, чувство юмора"|"целеустремлённость, честность, оптимизм"|"жадность, зависть, упрямство"|Харли Женщина: элегантный и утонченный|Сложно с типами с предвзятым отношением
"оптимизм, зависть, созерцательность"|"щедрость, общительность, отзывчивость"|"лень, скрытность, безразличие"|Джон Старк: альтруистичный и самоотверженный|"Те, кто обобщают негатив"
"стрессоустойчивость, упрямство, сангвиничность"|"справедливость, скромность, щедрость"|"эгоизм, безразличие, вспыльчивость"|Элизабет Скайуокер: загадочный и глубокий|Когда не умеют слушать
"смелость, доброта, лень, любопытство"|"щедрость, скромность, надёжность"|"упрямство, лживость, нетерпеливость"|Лоис Вейн: практичный и надежный|Склочниками - это проблема
"дисциплинированность, ригидность"|"сдержанность, смелость, терпеливость"|"вспыльчивость, упрямство, нерешительность"|Спок Соло: оптимистичный и энергичный|"Типами, которые перекручивают слова"
уважительность|"амбициозность, оптимизм, тактичность"|"жадность, высокомерие, агрессивность"|Донна Вейн: практичный и надежный|Людьми с кучей предрассудков
"общительность, самообладание, меланхоличность"|"тактичность, честность, уверенность"|"ветреность, эгоизм, безразличие"|Джокер Оди: решительный и преданный|Не нахожу контакта с лентяями
"тактичность, проницательность, лживость"|"трудолюбие, тактичность, креативность"|"лживость, ветреность, вспыльчивость"|Джеймс Бейн: страстный и принципиальный|Чаще всего это индивидами
"неряшливость, искренность"|"ответственность, трудолюбие, доброта"|"ветреность, безразличие, безответственность"|Фродо Беннер: тактичный и проницательный|С товарищами со скрытой агрессией
"трудолюбие, вспыльчивость"|"оптимизм, смелость, терпеливость"|"лживость, трусость, ветреность"|Элизабет Бейн: чуткий и заботливый|Сложно с товарищами со скрытой агрессией
"терпеливость, целеустремлённость, жадность"|"оптимизм, скромность, терпеливость"|"вспыльчивость, эгоизм, импульсивность"|Наташа Теннант: изобретательный и харизматичный|Эмоционально закрытыми людьми
"эмпатия, стрессоустойчивость"|"уверенность, целеустремлённость, отзывчивость"|"зависть, пессимизм, эгоизм"|Флэш Аллен: добрый и мудрый|С циничными ко всему индивидами
"доброта, безразличие"|"терпеливость, креативность, доброта"|"нетерпеливость, неряшливость, упрямство"|Северус Теннант: спокойный и наблюдательный|С нытиками товарищами
внимательность|"трудолюбие, креативность, тактичность"|"жадность, нерешительность, безразличие"|Донна Бонд: решительный и преданный|Занудами людьми
"терпеливость, интроверсия, деспотичность"|"честность, тактичность, эмпатия"|"нетерпеливость, эгоизм, ветреность"|Сэм Теннант: тактичный и проницательный|Когда смотрят свысока
"нетерпеливость, рассудительность, принципиальность"|"доброта, отзывчивость, жизнерадостность"|"эгоизм, упрямство, высокомерие"|Фродо Микеланджело: чуткий и заботливый|Обычно это неуверенными в себе
"доброта, эгоизм"|"общительность, щедрость, ответственность"|"пессимизм, эгоизм, амбициозность"|Арагорн Смит: сильный и благородный|С лицемерами товарищами
"уверенность, дисциплинированность"|"общительность, надёжность, оптимизм"|"безразличие, пессимизм, лживость"|Элизабет Нобл: храбрый и умный|С неуверенными в себе людьми
"искренность, проницательность"|"креативность, оптимизм, целеустремлённость"|"грубость, обидчивость, лживость"|Лоис Доу: романтичный и мечтательный|Болтунами - это проблема
"оптимизм, сдержанность"|"трудолюбие, целеустремлённость, справедливость"|"эгоизм, вспыльчивость, грубость"|Гермиона Бейн: настойчивый и целеустремленный|С персонами без чувства юмора
"искренность, пессимизм, проницательность, осторожность"|"доброта, креативность, рассудительность"|"агрессивность, вспыльчивость, амбициозность"|Флэш Бонд: загадочный и глубокий|Если человек смотрят свысока
"креативность, благородство"|"эмпатия, общительность, трудолюбие"|"пессимизм, грубость, амбициозность"|Джокер Грейнджер: веселый и остроумный|Неуверенными в себе собеседниками
смелость|"эмпатия, справедливость, щедрость"|"нетерпеливость, безразличие, ветреность"|Харли Женщина: альтруистичный и самоотверженный|Молчунами индивидами
самообладание|"терпеливость, отзывчивость, общительность"|"пессимизм, обидчивость, упрямство"|Шреддер Бонд: спокойный и наблюдательный|Кто читают нотации
"оптимизм, гуманность"|"великодушие, трудолюбие, скромность"|"агрессивность, пессимизм, обидчивость"|Гермиона Роджерс: альтруистичный и самоотверженный|"Не люблю, когда не уважают чужое мнение"
"доброта, креативность, необязательность, молчаливость"|"доброта, надёжность, жизнерадостность"|"зависть, неряшливость, упрямство"|Джон Романова: хитрый и находчивый|"Людьми, которые не умеют слушать"
"холеричность, манипулятивность, оптимизм"|"уверенность, ответственность, скромность"|"нерешительность, вспыльчивость, трусость"|Кларк Поттер: адаптивный и гибкий|Постоянно жалующимися товарищами
"стрессоустойчивость, фанатизм, настойчивость, прямолинейность"|"интроверсия, тактичность, эмпатия"|"зависть, нетерпеливость, прагматизм"|Кларк Тайлер: практичный и надежный|Не нахожу контакта со спорщиками
"общительность, методичность"|"креативность, жизнерадостность, оптимизм"|"нерешительность, безразличие, раздражительность"|Люк Тайлер: спокойный и наблюдательный|Когда не понимают юмор
"тактичность, жестокость"|"доброта, справедливость, терпеливость"|"агрессивность, нерешительность, безответственность"|Харли Поттер: настойчивый и целеустремленный|Не нахожу контакта с лицемерами
"миролюбие, скромность"|"уверенность, честность, великодушие"|"лживость, нерешительность, безответственность"|Мастер Лейн: веселый и остроумный|Когда воспринимают всё близко к сердцу
"самостоятельность, импозантность"|"честность, великодушие, креативность"|"эгоизм, трусость, обидчивость"|Шреддер Бонд: чуткий и заботливый|С личностями с негативным настроем
"гибкость, уравновешенность"|"скромность, справедливость, надёжность"|"ветреность, прагматизм, безответственность"|Лея Уизли: добрый и мудрый|Если с предвзятым отношением
"уважительность, зависть, самодостаточность"|"оптимизм, рассудительность, тактичность"|"неряшливость, грубость, нерешительность"|Роза Куинн: спокойный и наблюдательный|С собеседниками без эмпатии
"экстраверсия, чёрствость, целеустремлённость"|"креативность, ответственность, оптимизм"|"агрессивность, ветреность, пессимизм"|Кларк Аллен: чуткий и заботливый|Трудно с упрямыми как осел
"скрытность, эгоизм, надёжность, трудолюбие"|"креативность, жизнерадостность, педантичность"|"агрессивность, неряшливость, трусость"|Спок Уизли: веселый и остроумный|С дебилами
"великодушие, деликатность"|"креативность, ответственность, щедрость"|"агрессивность, лень, грубость"|Флэш Поттер: оптимистичный и энергичный|"Не люблю, когда читают нотации"
"гуманность, решительность"|"трудолюбие, отзывчивость, эмпатия"|"нерешительность, вспыльчивость, эгоизм"|Джеймс Микеланджело: спокойный и наблюдательный|Трудно с скептиками
"нейтралитет, искренность, смелость"|"надёжность, общительность, щедрость"|"безответственность, вспыльчивость, раздражительность"|Рон Скайуокер: спокойный и наблюдательный|Со всеми просто
"благородство, стрессоустойчивость, амбициозность"|"трудолюбие, оптимизм, скромность"|"нетерпеливость, лживость, жадность"|Аквамен Ли: решительный и преданный|Трудно с циничными ко всему
"справедливость, порядочность, деспотичность, амбициозность"|"уверенность, щедрость, целеустремлённость"|"зависть, агрессивность, эгоизм"|Лея Вейн: творческий и вдохновляющий|"Люди, которые проецируют свои проблемы"
"импозантность, самообладание, деликатность"|"уверенность, общительность, целеустремлённость"|"импульсивность, лень, пессимизм"|Наташа Бонд: страстный и принципиальный|"Не люблю, когда преувеличивают проблемы"
